,0
0,ABN  AMRO
1,Aditya Birla Sun Life
2,AEGON
3,Alliance Capital
4,Axis
5,Bank of India
6,Baroda BNP Paribas
7,Benchmark
8,BNP Paribas
9,Canara Robeco
10,Daiwa
11,DBS Chola
12,Deutsche
13,DSP
14,Edelweiss
15,Fidelity
16,Fortis
17,Franklin Templeton
18,GIC
19,Goldman Sachs
20,HDFC
21,HSBC
22,ICICI Prudential
23,IDBI
24,IDFC
25,IIFCL (IDF)
26,IIFL
27,IL&amp;F S
28,IL&amp;FS (IDF)
29,Indiabulls
30,ING
31,Invesco
32,ITI
33,JM Financial
34,JPMorgan
35,Kotak Mahindra
36,L&amp;T
37,LIC
38,Mahindra Manulife
39,Mirae Asset
40,Morgan Stanley
41,Motilal Oswal
42,Navi
43,Nippon India
44,NJ
45,PGIM India
46,PineBridge
47,PNB
48,PPFAS
49,Principal
50,quant
51,Quantum
52,Samco
53,SBI
54,Shinsei
55,Shriram
56,Standard Chartered
57,SUN F&amp;C
58,Sundaram
59,Tata
60,Taurus
61,Trust
62,Union
63,UTI
64,WhiteOak Capital
65,Zurich India
